UUID,Concat,Concat_Tokenized
043e7b01-4c08-4bde-ad15-7e3eea33ccc9,Ben R McMullin PS24 Paradise Ave School,"[""Ben"", ""R"", ""McMullin"", ""PS"", ""24"", ""Paradise"", ""Ave"", ""School""]"
2beec0a1-1f8b-4d82-9fbf-023777fb446f,Blind River PS19 Hanes Ave School,"[""Blind"", ""River"", ""PS"", ""19"", ""Hanes"", ""Ave"", ""School""]"
8c3b99ee-cc1f-44fd-acbe-615681ea9e11,Central Algoma SS32 Kensington Rd School,"[""Central"", ""Algoma"", ""SS"", ""32"", ""Kensington"", ""Rd"", ""School""]"
e5e6b9ca-6949-4d8c-b878-23268ef28827,Boreal FI232 Northern Ave E School,"[""Boreal"", ""FI"", ""232"", ""Northern"", ""Ave"", ""E"", ""School""]"
8365f00d-4a31-4a9b-bc21-2b23fde857bc,Anna McCrea PS250 Mark St School,"[""Anna"", ""McCrea"", ""PS"", ""250"", ""Mark"", ""St"", ""School""]"
ec422985-a6df-4147-8bba-5e04ca214815,Arthur Henderson PS2 Henderson Lane School,"[""Arthur"", ""Henderson"", ""PS"", ""2"", ""Henderson"", ""Lane"", ""School""]"
63c0f6e1-28f5-4467-863e-60859b022b64,Central Avenue PS81 Central Ave School,"[""Central"", ""Avenue"", ""PS"", ""81"", ""Central"", ""Ave"", ""School""]"
972e6274-0282-41dd-89c3-2d131ca70e1f,Central Plant Office - CLOSED190 Northern Ave. E. Administrative offices and related facilities,"[""Central"", ""Plant"", ""Office"", ""-"", ""CLOSED"", ""190"", ""Northern"", ""Ave."", ""E."", ""Administrative"", ""offices"", ""and"", ""related"", ""facilities""]"
7a228541-6f58-4e91-885d-0523ee22590b,Chapleau Secondary School & Track Field Facility20 Teak Street School,"[""Chapleau"", ""Secondary"", ""School"", ""&"", ""Track"", ""Field"", ""Facility"", ""20"", ""Teak"", ""Street"", ""School""]"
1b73bb7d-bb82-4aae-884c-2134f26077e2,Francis H Clergue PS80 Weldon Ave School,"[""Francis"", ""H"", ""Clergue"", ""PS"", ""80"", ""Weldon"", ""Ave"", ""School""]"
f937a367-4c90-4271-be71-cac6380830b0,Grandview PS161 Denwood Dr School,"[""Grandview"", ""PS"", ""161"", ""Denwood"", ""Dr"", ""School""]"
48102c91-43ad-4224-9038-92550b7846e2,Greenwood PS8 Fourth Line W School,"[""Greenwood"", ""PS"", ""8"", ""Fourth"", ""Line"", ""W"", ""School""]"
cde0f0e7-eb05-46a5-b951-af084e424cc1,Parkland PS54 Amber St School,"[""Parkland"", ""PS"", ""54"", ""Amber"", ""St"", ""School""]"
b603a2a1-fa40-4e48-a2a8-91129f2c6eda,Pinewood PS3924 Queen St E School,"[""Pinewood"", ""PS"", ""3924"", ""Queen"", ""St"", ""E"", ""School""]"
9ce40965-825b-4e88-8a18-51e0a9f97b2f,Prince Charles PS550 Northern Ave E School,"[""Prince"", ""Charles"", ""PS"", ""550"", ""Northern"", ""Ave"", ""E"", ""School""]"
547c6a9d-e775-4d7a-ba64-865fadc39cc2,Thessalon PS90 Stanley Street School,"[""Thessalon"", ""PS"", ""90"", ""Stanley"", ""Street"", ""School""]"
7a272f56-ad0d-472c-b951-2eafed2e4e61,Thessalon PS Annex (Federation St)266 Federation St. School,"[""Thessalon"", ""PS"", ""Annex"", """", ""Federation"", ""St"", """", ""266"", ""Federation"", ""St."", ""School""]"
11ff56f8-3f4a-4928-a067-3ecf2902f04a,W C Eaket SS147 Woodward Ave School,"[""W"", ""C"", ""Eaket"", ""SS"", ""147"", ""Woodward"", ""Ave"", ""School""]"
c21de3a6-93cd-4179-82f2-f8e411d10788,H M Robbins PS83 East Balfour St School,"[""H"", ""M"", ""Robbins"", ""PS"", ""83"", ""East"", ""Balfour"", ""St"", ""School""]"
f2b8ae51-8d03-43fe-8670-71467a5e78ab,Hornepayne Jk-12 School (Elementary & Secondary)162 Fourth Avenue School,"[""Hornepayne"", ""Jk-"", ""12"", ""School"", """", ""Elementary"", ""&"", ""Secondary"", """", ""162"", ""Fourth"", ""Avenue"", ""School""]"
ff70962c-c815-46d2-a678-7fcff8bd5e2c,Isabel Fletcher PS599 Third Line W School,"[""Isabel"", ""Fletcher"", ""PS"", ""599"", ""Third"", ""Line"", ""W"", ""School""]"
d453b81d-f40a-43a6-8bc2-a2c40be9f2e0,Queen Elizabeth PS139 Elizabeth St School,"[""Queen"", ""Elizabeth"", ""PS"", ""139"", ""Elizabeth"", ""St"", ""School""]"
ff862f0a-0fb5-4c47-a420-c01a401dc9fe,R M Moore PS1272 Base Line School,"[""R"", ""M"", ""Moore"", ""PS"", ""1272"", ""Base"", ""Line"", ""School""]"
7265c6cc-e8c6-4f3e-b308-907c5d8bb1fa,River View PS51 Wireless Ave School,"[""River"", ""View"", ""PS"", ""51"", ""Wireless"", ""Ave"", ""School""]"
bda90da4-5a20-4859-801f-2acf3259a240,White Pines C & VS & Intermediate School1007 Trunk Rd School,"[""White"", ""Pines"", ""C"", ""&"", ""VS"", ""&"", ""Intermediate"", ""School"", ""1007"", ""Trunk"", ""Rd"", ""School""]"
8e517702-2c65-46fa-a0ab-f90010d08377,East View PS75 Arizona Ave School,"[""East"", ""View"", ""PS"", ""75"", ""Arizona"", ""Ave"", ""School""]"
1c6cf17f-4997-4dcf-becf-261129078f8e,Echo Bay Central PS290 Church St School,"[""Echo"", ""Bay"", ""Central"", ""PS"", ""290"", ""Church"", ""St"", ""School""]"
97faa46f-7a28-4a0e-ac8f-a7d853d3683e,Education Centre644 Albert St. E. Administrative offices and related facilities,"[""Education"", ""Centre"", ""644"", ""Albert"", ""St."", ""E."", ""Administrative"", ""offices"", ""and"", ""related"", ""facilities""]"
4fbb6921-91ab-4aa9-9ba1-d0fc1a3535a0,Kiwedin PS735 North St School,"[""Kiwedin"", ""PS"", ""735"", ""North"", ""St"", ""School""]"
a522d9e1-d364-4332-9df8-7860722f3728,Korah C & VS636 Goulais Ave School,"[""Korah"", ""C"", ""&"", ""VS"", ""636"", ""Goulais"", ""Ave"", ""School""]"
ea9dfaa0-200f-4c80-8cfb-3e60237f85f0,Michipicoten HS86 Magpie Rd. School,"[""Michipicoten"", ""HS"", ""86"", ""Magpie"", ""Rd."", ""School""]"
df52ce31-522a-491a-a370-324168d2f6bd,Rockhaven TR School1859 Riverview Road School,"[""Rockhaven"", ""TR"", ""School"", ""1859"", ""Riverview"", ""Road"", ""School""]"
24d95d80-75c9-4f01-a275-e581f822b01c,Northland Learning Centre440 Northland Rd School,"[""Northland"", ""Learning"", ""Centre"", ""440"", ""Northland"", ""Rd"", ""School""]"
a285e1f3-6306-470d-9595-d76d407df87f,Sir James Dunn P.S.36 McKinley St. School,"[""Sir"", ""James"", ""Dunn"", ""P.S."", ""36"", ""McKinley"", ""St."", ""School""]"
17f93d1d-2ae9-44f0-a02b-db5b06f0519b,Elliot Lake SS (Sec)303 Mississauga Ave School,"[""Elliot"", ""Lake"", ""SS"", """", ""Sec"", """", ""303"", ""Mississauga"", ""Ave"", ""School""]"
8eea040c-de43-4942-b73b-bb69dd0e95e5,Esten Park Public School115 Hergott Avenue School,"[""Esten"", ""Park"", ""Public"", ""School"", ""115"", ""Hergott"", ""Avenue"", ""School""]"
d4097924-e6eb-4a4d-87ef-a9d2a261df59,Etienne Brule PS226 Queen St W School,"[""Etienne"", ""Brule"", ""PS"", ""226"", ""Queen"", ""St"", ""W"", ""School""]"
c70328bc-ae8d-4f90-bea0-29c372320d61,Missarenda Consolidated PS P.O. Box 62 School,"[""Missarenda"", ""Consolidated"", ""PS"", ""P.O."", ""Box"", ""62"", ""School""]"
2f52feea-8977-4c2e-9b24-a7c54a6b1129,Mountain View PS21 Mahler Rd School,"[""Mountain"", ""View"", ""PS"", ""21"", ""Mahler"", ""Rd"", ""School""]"
70fb5043-d7b8-48e0-a4db-17a469eaa012,Northern Heights PS210 Grand Blvd School,"[""Northern"", ""Heights"", ""PS"", ""210"", ""Grand"", ""Blvd"", ""School""]"
3005222e-02f4-46d1-b2d4-990c8f7d727a,St Joseph Island Central S1326 Richards Street School,"[""St"", ""Joseph"", ""Island"", ""Central"", ""S"", ""1326"", ""Richards"", ""Street"", ""School""]"
4d1a3059-8533-4f9c-a461-a46421f0cb75,Superior Heights C&VS & Intermediate School750 North St School,"[""Superior"", ""Heights"", ""C"", ""&"", ""VS"", ""&"", ""Intermediate"", ""School"", ""750"", ""North"", ""St"", ""School""]"
daba6743-c209-437f-9cf4-20b8f4000363,Tarentorus PS96 Northwood St School,"[""Tarentorus"", ""PS"", ""96"", ""Northwood"", ""St"", ""School""]"
70a7d3bb-3a9c-4700-b96a-e41cfa895e7d,Georges Vanier Catholic School100 Tracey Street School,"[""Georges"", ""Vanier"", ""Catholic"", ""School"", ""100"", ""Tracey"", ""Street"", ""School""]"
9b69a1c3-e9de-46dc-b2b3-89706b8ab1db,Holy Cross Catholic Secondary School1085 Woodbine Rd School,"[""Holy"", ""Cross"", ""Catholic"", ""Secondary"", ""School"", ""1085"", ""Woodbine"", ""Rd"", ""School""]"
4414f851-e356-46cb-a9a8-71a70701cf61,"Holy Name Catholic School370 Kingston Mills Road, RR 6 School","[""Holy"", ""Name"", ""Catholic"", ""School"", ""370"", ""Kingston"", ""Mills"", ""Road"", """", ""RR"", ""6"", ""School""]"
423354f2-c14d-4c80-ada6-8f3f777d4348,John XXIII Catholic School736 High Gate Park Dr School,"[""John"", ""XXIII"", ""Catholic"", ""School"", ""736"", ""High"", ""Gate"", ""Park"", ""Dr"", ""School""]"
6b5b859c-543a-45ef-891d-fa288cb7bf32,Mother Teresa Catholic School1044 Lancaster Dr School,"[""Mother"", ""Teresa"", ""Catholic"", ""School"", ""1044"", ""Lancaster"", ""Dr"", ""School""]"
f49a4345-d5f7-411e-8d3c-0e757268d98a,Nicholson Catholic College301 Church Street School,"[""Nicholson"", ""Catholic"", ""College"", ""301"", ""Church"", ""Street"", ""School""]"
459d3d9b-60c9-4ec9-8f20-9357798a77eb,Our Lady of Mount Carmel Catholic School97 Park Cres School,"[""Our"", ""Lady"", ""of"", ""Mount"", ""Carmel"", ""Catholic"", ""School"", ""97"", ""Park"", ""Cres"", ""School""]"
15c605db-4a8a-477c-a381-d7c1c7be31be,Plant Operations (East)131  Grant Timmins Drive Administrative offices and related facilities,"[""Plant"", ""Operations"", """", ""East"", """", ""131"", ""Grant"", ""Timmins"", ""Drive"", ""Administrative"", ""offices"", ""and"", ""related"", ""facilities""]"
65e74c7d-1704-45ca-9d74-55e48e99baae,Plant Operations (West)347 Maitland Dr Administrative offices and related facilities,"[""Plant"", ""Operations"", """", ""West"", """", ""347"", ""Maitland"", ""Dr"", ""Administrative"", ""offices"", ""and"", ""related"", ""facilities""]"
e3d0efd0-7efb-4421-a9b7-206855c90990,"Sacred Heart Catholic School (Wolfe Island)57 Road 95, Box 59 School","[""Sacred"", ""Heart"", ""Catholic"", ""School"", """", ""Wolfe"", ""Island"", """", ""57"", ""Road"", ""95"", """", ""Box"", ""59"", ""School""]"
d1667a3f-1d87-46e5-a052-a1ebf59d27ea,"St Carthagh Catholic School114 Hungerford Road, P.O. Box 279 School","[""St"", ""Carthagh"", ""Catholic"", ""School"", ""114"", ""Hungerford"", ""Road"", """", ""P.O."", ""Box"", ""279"", ""School""]"
3ab003cb-901b-4f62-b286-12b045f4371d,"St Gregory Catholic School7 Owen Street, P.O. Box 1449 School","[""St"", ""Gregory"", ""Catholic"", ""School"", ""7"", ""Owen"", ""Street"", """", ""P.O."", ""Box"", ""1449"", ""School""]"
c25bb325-42d3-4157-9225-4bcfe26678bd,ALCDSB Catholic Education Centre151 Dairy Ave Administrative offices and related facilities,"[""ALCDSB"", ""Catholic"", ""Education"", ""Centre"", ""151"", ""Dairy"", ""Ave"", ""Administrative"", ""offices"", ""and"", ""related"", ""facilities""]"
1b05fafe-8d1d-4e41-99d6-9439f51c6c1a,Archbishop O Sullivan Catholic School974 Pembridge Cres School,"[""Archbishop"", ""O"", ""Sullivan"", ""Catholic"", ""School"", ""974"", ""Pembridge"", ""Cres"", ""School""]"
47236894-661d-421b-a737-99cf6f90ad3d,Ecole Cathedrale Catholic School301 Johnson St School,"[""Ecole"", ""Cathedrale"", ""Catholic"", ""School"", ""301"", ""Johnson"", ""St"", ""School""]"
382dba4b-4d8e-40ab-8718-4e0ab4caaa37,Holy Name of Mary Catholic School7314 Old Highway 2 School,"[""Holy"", ""Name"", ""of"", ""Mary"", ""Catholic"", ""School"", ""7314"", ""Old"", ""Highway"", ""2"", ""School""]"
45e87efb-aac9-4619-881a-023cb4a55223,Holy Rosary Catholic School10 Prince of Wales Drive School,"[""Holy"", ""Rosary"", ""Catholic"", ""School"", ""10"", ""Prince"", ""of"", ""Wales"", ""Drive"", ""School""]"
d7a9bf85-87bf-4c6c-933f-72c8700441d2,J J O'Neill Catholic School240 Marilyn Ave School,"[""J"", ""J"", ""O"", ""'"", ""Neill"", ""Catholic"", ""School"", ""240"", ""Marilyn"", ""Ave"", ""School""]"
b1b9cdcc-ce7f-4083-b4b5-faf40435bf0b,Our Lady of Fatima Catholic School300 Sidney Street School,"[""Our"", ""Lady"", ""of"", ""Fatima"", ""Catholic"", ""School"", ""300"", ""Sidney"", ""Street"", ""School""]"
58e9d22c-e6c8-4b3f-a2c0-a6b6262cd913,Our Lady of Lourdes Catholic School20 Cranbrook St School,"[""Our"", ""Lady"", ""of"", ""Lourdes"", ""Catholic"", ""School"", ""20"", ""Cranbrook"", ""St"", ""School""]"
f78f744c-e93e-4999-b78c-982c422233ac,"Our Lady of Mercy Catholic School192 Bridge Street, West, P.O. Box 778 School","[""Our"", ""Lady"", ""of"", ""Mercy"", ""Catholic"", ""School"", ""192"", ""Bridge"", ""Street"", """", ""West"", """", ""P.O."", ""Box"", ""778"", ""School""]"
901b71c8-fce5-43f4-9672-f345b1d589c3,Regiopolis - Notre Dame Catholic Secondary School130 Russell St School,"[""Regiopolis"", ""-"", ""Notre"", ""Dame"", ""Catholic"", ""Secondary"", ""School"", ""130"", ""Russell"", ""St"", ""School""]"
2b10f5c2-fa80-46df-9380-2e19fdcef4d5,"Sacred Heart Catholic School (Batawa)31 Thomas Bata Blvd., P.O. Box 135 School","[""Sacred"", ""Heart"", ""Catholic"", ""School"", """", ""Batawa"", """", ""31"", ""Thomas"", ""Bata"", ""Blvd."", """", ""P.O."", ""Box"", ""135"", ""School""]"
dfd6cab1-9945-47a8-bfc4-5bbf6f89d9dd,"Sacred Heart Catholic School (Marmora)50 Bursthall Street, P.O. Box 280 School","[""Sacred"", ""Heart"", ""Catholic"", ""School"", """", ""Marmora"", """", ""50"", ""Bursthall"", ""Street"", """", ""P.O."", ""Box"", ""280"", ""School""]"
aecb4abe-394c-4efd-94cf-c06cc4354096,"St Joseph Catholic School405 Bridge Street, East School","[""St"", ""Joseph"", ""Catholic"", ""School"", ""405"", ""Bridge"", ""Street"", """", ""East"", ""School""]"
7bf13692-46ce-4573-9c1d-e3ed83b43ccd,St Marguerite Bourgeois Catholic School355 Waterloo Drive School,"[""St"", ""Marguerite"", ""Bourgeois"", ""Catholic"", ""School"", ""355"", ""Waterloo"", ""Drive"", ""School""]"
1f0f444c-5406-4ada-8c7b-ec229d9d563d,St Martha Catholic School455 St. Martha Street School,"[""St"", ""Martha"", ""Catholic"", ""School"", ""455"", ""St."", ""Martha"", ""Street"", ""School""]"
e1a9c317-ca5b-4b2f-8beb-60688d35dfb9,"St Martin Catholic School1 Post Street, PO Box 177 School","[""St"", ""Martin"", ""Catholic"", ""School"", ""1"", ""Post"", ""Street"", """", ""PO"", ""Box"", ""177"", ""School""]"
23acacfb-5cdc-4b9c-8022-d6f342b7f6d7,"St Mary Catholic School (Read)1285 Read Side Road, RR 1 School","[""St"", ""Mary"", ""Catholic"", ""School"", """", ""Read"", """", ""1285"", ""Read"", ""Side"", ""Road"", """", ""RR"", ""1"", ""School""]"
c359ee70-73b0-44f6-ba82-ff1c158e15fa,St Mary Catholic School (Trenton)85 Campbell Street School,"[""St"", ""Mary"", ""Catholic"", ""School"", """", ""Trenton"", """", ""85"", ""Campbell"", ""Street"", ""School""]"
408608f3-1aed-48b5-b7f1-24126c36bc9d,St Paul Catholic School (Kingston)266 McMahon Ave School,"[""St"", ""Paul"", ""Catholic"", ""School"", """", ""Kingston"", """", ""266"", ""McMahon"", ""Ave"", ""School""]"
5e56db21-9eb2-4bf1-9775-36ee8e86b897,St Paul Catholic Secondary School15 Tripp Blvd. School,"[""St"", ""Paul"", ""Catholic"", ""Secondary"", ""School"", ""15"", ""Tripp"", ""Blvd."", ""School""]"
077d374a-34da-40c2-b953-732d2dadffc4,St Peter Catholic School (Kingston)48 Seventh Ave School,"[""St"", ""Peter"", ""Catholic"", ""School"", """", ""Kingston"", """", ""48"", ""Seventh"", ""Ave"", ""School""]"
c56679e3-7db2-4e1d-baff-c1e69879a0f9,St. Francis of Assisi Catholic School114 Wiley Street School,"[""St."", ""Francis"", ""of"", ""Assisi"", ""Catholic"", ""School"", ""114"", ""Wiley"", ""Street"", ""School""]"
add812a5-6d79-445a-a685-b82088d4e76e,St. James Major Catholic School 14608 HWY 38 School,"[""St."", ""James"", ""Major"", ""Catholic"", ""School"", ""14608"", ""HWY"", ""38"", ""School""]"
0a913e6d-0da0-45e8-97d0-4e6e93060bb1,St. Peter Catholic School (K-6)15 Tripp Blvd School,"[""St."", ""Peter"", ""Catholic"", ""School"", """", ""K-"", ""6"", """", ""15"", ""Tripp"", ""Blvd"", ""School""]"
5ccb1bae-4de3-4e09-9703-614ceb6dd679,St Michael Catholic School273 Church Street School,"[""St"", ""Michael"", ""Catholic"", ""School"", ""273"", ""Church"", ""Street"", ""School""]"
1e0479f6-4621-43cd-ae80-9009b174310f,St Patrick Catholic School (Erinsville)6041 Highway 41 School,"[""St"", ""Patrick"", ""Catholic"", ""School"", """", ""Erinsville"", """", ""6041"", ""Highway"", ""41"", ""School""]"
dafb3a14-0d15-4f48-a48a-de94ff6af488,St Patrick Catholic School (Harrowsmith)389 Wilton Rd School,"[""St"", ""Patrick"", ""Catholic"", ""School"", """", ""Harrowsmith"", """", ""389"", ""Wilton"", ""Rd"", ""School""]"
76dd68bb-9567-4cfd-abb0-1649f86a2639,St Peter Catholic School (Trenton)101 Queen Street School,"[""St"", ""Peter"", ""Catholic"", ""School"", """", ""Trenton"", """", ""101"", ""Queen"", ""Street"", ""School""]"
43b3d8af-1fee-4da3-a36b-c3510d3a1244,St Theresa Catholic Secondary School135 Adam Street School,"[""St"", ""Theresa"", ""Catholic"", ""Secondary"", ""School"", ""135"", ""Adam"", ""Street"", ""School""]"
1f36f97d-821e-4be4-8bd6-7b80ed59021f,St Thomas More Catholic School234 Norman Rogers Dr School,"[""St"", ""Thomas"", ""More"", ""Catholic"", ""School"", ""234"", ""Norman"", ""Rogers"", ""Dr"", ""School""]"
ed7f279a-417e-4d92-8ddd-d9d5ef70b734,Storage Wharehouse108 Dairy Ave Administrative offices and related facilities,"[""Storage"", ""Wharehouse"", ""108"", ""Dairy"", ""Ave"", ""Administrative"", ""offices"", ""and"", ""related"", ""facilities""]"
f49b51aa-750b-4063-afae-4274472c2831,Anne Hathaway Public School77 Bruce St School,"[""Anne"", ""Hathaway"", ""Public"", ""School"", ""77"", ""Bruce"", ""St"", ""School""]"
345f4c6c-d1f1-42d7-be7e-a8b698e93d16,Avon PS31 Huntingdon Ave School,"[""Avon"", ""PS"", ""31"", ""Huntingdon"", ""Ave"", ""School""]"
a1446100-f332-4ac4-8542-0906100a84ae,Bedford PS59 Bedford Dr School,"[""Bedford"", ""PS"", ""59"", ""Bedford"", ""Dr"", ""School""]"
38bc5aa2-8ccd-4d8d-9def-a9288214d53f,CEL Goderich41  West St School,"[""CEL"", ""Goderich"", ""41"", ""West"", ""St"", ""School""]"
8e6743af-398f-4645-b89f-1c821b925726,CEL Seaforth 9 Goderich  St School,"[""CEL"", ""Seaforth"", ""9"", ""Goderich"", ""St"", ""School""]"
8f0e8079-caad-4259-94ee-5e6e5b4a9d58,"CEL, Clinton60-70 Mary Street School","[""CEL"", """", ""Clinton"", ""60"", ""-"", ""70"", ""Mary"", ""Street"", ""School""]"
e8dee0c8-83d8-4570-a069-1dfd076d7468,Clinton PS27 Percival St School,"[""Clinton"", ""PS"", ""27"", ""Percival"", ""St"", ""School""]"
17c7bc24-13f8-4712-88be-d22197a9bfb5,Downie Central PS4384 Line 20 (Down-PS) School,"[""Downie"", ""Central"", ""PS"", ""4384"", ""Line"", ""20"", """", ""Down-PS"", """", ""School""]"
ed5186c2-3a86-40ef-ad5f-114d2bc33aa8,Elma Township5972 Line 72 (Elma-NP) School,"[""Elma"", ""Township"", ""5972"", ""Line"", ""72"", """", ""Elma-NP"", """", ""School""]"
5c22c3fe-2ca8-44ce-9881-d12cfb531150,Goderich Public School125 Blake St W School,"[""Goderich"", ""Public"", ""School"", ""125"", ""Blake"", ""St"", ""W"", ""School""]"
e1b0c930-7cc8-460a-99c7-9a3ee9d9ae89,Hamlet PS315 West Gore St School,"[""Hamlet"", ""PS"", ""315"", ""West"", ""Gore"", ""St"", ""School""]"
080934a5-103b-431d-a604-158d59b8aa4b,Howick Central S45010 Harriston Rd (How) School,"[""Howick"", ""Central"", ""S"", ""45010"", ""Harriston"", ""Rd"", """", ""How"", """", ""School""]"
16f39208-bc33-447b-9781-59055c60e9eb,Listowel Eastdale PS365 Nichol Ave S School,"[""Listowel"", ""Eastdale"", ""PS"", ""365"", ""Nichol"", ""Ave"", ""S"", ""School""]"
c238e7f5-6642-464c-8f30-4e0fa2e69876,Little Falls PS25 Lindsay Atkinson Drive School,"[""Little"", ""Falls"", ""PS"", ""25"", ""Lindsay"", ""Atkinson"", ""Drive"", ""School""]"
dfb56f9a-7fa5-42db-818d-9296a502166b,Maitland River ES250 John St. East School,"[""Maitland"", ""River"", ""ES"", ""250"", ""John"", ""St."", ""East"", ""School""]"
bdb2d866-2dd2-48d6-b9cb-d870c980b818,North Easthope PS4672  Road 108 (NEH-PE) Rd School,"[""North"", ""Easthope"", ""PS"", ""4672"", ""Road"", ""108"", """", ""NEH-PE"", """", ""Rd"", ""School""]"
dc955a86-063c-4aff-bf7d-77bfbee7a738,North Perth Westfield ES955 Binning St W School,"[""North"", ""Perth"", ""Westfield"", ""ES"", ""955"", ""Binning"", ""St"", ""W"", ""School""]"
bdac821e-7456-4a78-bb2c-dde9cf8cf3bd,North Woods ES84295 Ethel Line School,"[""North"", ""Woods"", ""ES"", ""84295"", ""Ethel"", ""Line"", ""School""]"
b44251bc-e987-4f1b-91fa-6014740504f8,Shakespeare PS35 Mowat St School,"[""Shakespeare"", ""PS"", ""35"", ""Mowat"", ""St"", ""School""]"
33b49bc1-12d9-4124-a252-398651f84525,South Huron DHS & DES92 Gidley St E School,"[""South"", ""Huron"", ""DHS"", ""&"", ""DES"", ""92"", ""Gidley"", ""St"", ""E"", ""School""]"
6ade54d2-2ea9-49e3-941d-34df325ea301,South Perth Centennial PS1866 Road 163 (Blan-PS) School,"[""South"", ""Perth"", ""Centennial"", ""PS"", ""1866"", ""Road"", ""163"", """", ""Blan-PS"", """", ""School""]"
5babc6e6-f59c-4b32-b2cf-de167eb28ee1,Bluewater Coast ES85 York Street School,"[""Bluewater"", ""Coast"", ""ES"", ""85"", ""York"", ""Street"", ""School""]"
8e0d86c3-e5dd-412f-ac1e-5dd04b7d7059,Brookside PS36937 Belgrave Rd (Ashf-ACW) School,"[""Brookside"", ""PS"", ""36937"", ""Belgrave"", ""Rd"", """", ""Ashf-ACW"", """", ""School""]"
642958de-1ac9-4566-8588-75dc7e07eb71,"CEL - Exeter, Huron Employment Resource349 Main St. School","[""CEL"", ""-"", ""Exeter"", """", ""Huron"", ""Employment"", ""Resource"", ""349"", ""Main"", ""St."", ""School""]"
5971f24c-095a-4260-875e-1fcdaa3193af,"CEL, Wingham152 Josephine St School","[""CEL"", """", ""Wingham"", ""152"", ""Josephine"", ""St"", ""School""]"
b23bf759-ae40-49da-9cf9-02275def0472,Central Huron SS & Clinton Administration165  Princess St E School,"[""Central"", ""Huron"", ""SS"", ""&"", ""Clinton"", ""Administration"", ""165"", ""Princess"", ""St"", ""E"", ""School""]"
bbb81d99-71f4-444d-b8c3-ee5b669741df,Central Perth E S4663 Road 135 (Ellc-PE) School,"[""Central"", ""Perth"", ""E"", ""S"", ""4663"", ""Road"", ""135"", """", ""Ellc-PE"", """", ""School""]"
998a0ecd-4e9d-4030-b3a1-c1f910215b3b,Exeter PS93 Victoria St School,"[""Exeter"", ""PS"", ""93"", ""Victoria"", ""St"", ""School""]"
8b9bee51-b547-4d8e-bb85-d7895c67ad99,F E Madill SS & ES231 Madill Drive School,"[""F"", ""E"", ""Madill"", ""SS"", ""&"", ""ES"", ""231"", ""Madill"", ""Drive"", ""School""]"
312e383d-ccff-4641-9480-19becd2e4aad,Goderich District CI & Goderich District CI Elementary260 South St School,"[""Goderich"", ""District"", ""CI"", ""&"", ""Goderich"", ""District"", ""CI"", ""Elementary"", ""260"", ""South"", ""St"", ""School""]"
9f3a3da8-7002-4342-ae46-0c029747d44e,Hullett Central PS269 King St. School,"[""Hullett"", ""Central"", ""PS"", ""269"", ""King"", ""St."", ""School""]"
211bd4ca-4524-48c4-a52e-e4345aafb88b,Huron Centennial SRR 1 39978 Centennial Rd School,"[""Huron"", ""Centennial"", ""SRR"", ""1"", ""39978"", ""Centennial"", ""Rd"", ""School""]"
b3c1da4c-dc7e-4982-8a06-e9af8f9e75a6,Listowel DSS155 Maitland Ave S School,"[""Listowel"", ""DSS"", ""155"", ""Maitland"", ""Ave"", ""S"", ""School""]"
89ba6877-71e4-44e9-80cb-b0f4b75734c4,"Milverton PS68 Mill Street E., Box 457 School","[""Milverton"", ""PS"", ""68"", ""Mill"", ""Street"", ""E."", """", ""Box"", ""457"", ""School""]"
00363f35-0f01-42bc-8c81-19eb72b4488f,Mitchell DHS95 Frances St School,"[""Mitchell"", ""DHS"", ""95"", ""Frances"", ""St"", ""School""]"
19888a5d-c5f5-4725-b31f-c7d8902ee397,Mornington Central PS7241 Road 131 (Morn-PE) School,"[""Mornington"", ""Central"", ""PS"", ""7241"", ""Road"", ""131"", """", ""Morn-PE"", """", ""School""]"
588d7d83-2d53-490f-8525-a6964fd2be08,Romeo PS49 Rebecca St School,"[""Romeo"", ""PS"", ""49"", ""Rebecca"", ""St"", ""School""]"
8b4b0e46-5ad5-41f6-b98c-fe23cb7981fd,Seaforth PS & Administration & Maintenance58 Chalk St N School,"[""Seaforth"", ""PS"", ""&"", ""Administration"", ""&"", ""Maintenance"", ""58"", ""Chalk"", ""St"", ""N"", ""School""]"
871473e6-f7be-40f5-b0c1-a0ed2e2b15c3,SERC Library & Day Care220 Oakdale Ave School,"[""SERC"", ""Library"", ""&"", ""Day"", ""Care"", ""220"", ""Oakdale"", ""Ave"", ""School""]"
fd5a860b-8079-4bc6-bf15-57e51d6457f3,Sprucedale PS59 Fraser Street School,"[""Sprucedale"", ""PS"", ""59"", ""Fraser"", ""Street"", ""School""]"
cfaced8e-3a3c-4659-85a8-7e9527d67c58,St Marys DC & VI & Elementary338 Elizabeth St. Box 970 School,"[""St"", ""Marys"", ""DC"", ""&"", ""VI"", ""&"", ""Elementary"", ""338"", ""Elizabeth"", ""St."", ""Box"", ""970"", ""School""]"
b38e7d76-9fee-4ca2-8406-5f740d4cace4,Stephen Central PS70042 Goshen Line (Steph-SH) School,"[""Stephen"", ""Central"", ""PS"", ""70042"", ""Goshen"", ""Line"", """", ""Steph-SH"", """", ""School""]"
603bd381-d0ed-4c8e-a943-c429b72bcea7,Stratford District Secondary School428 Forman Ave. School,"[""Stratford"", ""District"", ""Secondary"", ""School"", ""428"", ""Forman"", ""Ave."", ""School""]"
