UUID,Concat,Concat_Tokenized
beee40bd-3e87-4f25-a4da-c9ceffeb9031,École Publique Jeunesse Active130 Lisgar Street School,"[""École"", ""Publique"", ""Jeunesse"", ""Active"", ""130"", ""Lisgar"", ""Street"", ""School""]"
441aa058-ba3a-4712-aef4-4f4de51f8536,EEP Passeport Jeunesse- leased75  9th street CP 2200 Street School,"[""EEP"", ""Passeport"", ""Jeunesse-"", ""leased"", ""75"", ""9"", ""th"", ""street"", ""CP"", ""2200"", ""Street"", ""School""]"
c539fa39-d7e8-4d5b-8398-6d52e7f3b481,Garderie Mousaillon39 Hessle Ave E Administrative offices and related facilities,"[""Garderie"", ""Mousaillon"", ""39"", ""Hessle"", ""Ave"", ""E"", ""Administrative"", ""offices"", ""and"", ""related"", ""facilities""]"
313c2681-ab3c-4759-849b-7e7f4ba8ae31,Siege Sociale820 Lakeshore Drive Administrative offices and related facilities,"[""Siege"", ""Sociale"", ""820"", ""Lakeshore"", ""Drive"", ""Administrative"", ""offices"", ""and"", ""related"", ""facilities""]"
d5e2a17d-9863-42de-86de-fc2b5250d518,École255 Coronation Drive School,"[""École"", ""255"", ""Coronation"", ""Drive"", ""School""]"
b5ad44e6-e2a0-46ed-a7a0-25d92eb7d7a1,"Bureaux Administratifs1, prom. Vanier Administrative offices and related facilities","[""Bureaux"", ""Administratifs"", ""1"", """", ""prom."", ""Vanier"", ""Administrative"", ""offices"", ""and"", ""related"", ""facilities""]"
9be5cb87-f3a1-4e9d-9ebb-e70664446382,"Collège français100, rue Carlton School","[""Collège"", ""français"", ""100"", """", ""rue"", ""Carlton"", ""School""]"
0ad787e3-0321-487b-926a-ca4e856ad518,"École élémentaire Antonine Maillet615, avenue Ridgeway School","[""École"", ""élémentaire"", ""Antonine"", ""Maillet"", ""615"", """", ""avenue"", ""Ridgeway"", ""School""]"
863b56fb-df63-4e2d-8a58-bdd8a05834b5,"École élémentaire Charles-Sauriol55, avenue Pelham School","[""École"", ""élémentaire"", ""Charles-Sauriol"", ""55"", """", ""avenue"", ""Pelham"", ""School""]"
750ca150-d33c-41a4-9f31-5fe2e86fd326,École élémentaire des Quatre-Rivières60 Century Drive School,"[""École"", ""élémentaire"", ""des"", ""Quatre-Rivières"", ""60"", ""Century"", ""Drive"", ""School""]"
4f403796-7ced-41d2-b4ba-33cd26d1fd60,École élémentaire du Chêne150 Ridge Dr. School,"[""École"", ""élémentaire"", ""du"", ""Chêne"", ""150"", ""Ridge"", ""Dr."", ""School""]"
1231a864-2862-406a-bf4e-30916c08e78e,"École élémentaire Horizon Jeunesse1445, prom. Lewisham School","[""École"", ""élémentaire"", ""Horizon"", ""Jeunesse"", ""1445"", """", ""prom."", ""Lewisham"", ""School""]"
ce281042-4f24-4227-8179-f2f59034caef,École élémentaire Jeanne-Lajoie150 Carnforth Road School,"[""École"", ""élémentaire"", ""Jeanne-Lajoie"", ""150"", ""Carnforth"", ""Road"", ""School""]"
3d65a3db-783f-4326-8a20-28859cf55a87,École élémentaire La Fontaine10110 Islington ave School,"[""École"", ""élémentaire"", ""La"", ""Fontaine"", ""10110"", ""Islington"", ""ave"", ""School""]"
dbfa5e7a-866d-4cac-99ba-77bbb64e32c8,"École élémentaire LaMarsh4751, chemin Drummond School","[""École"", ""élémentaire"", ""LaMarsh"", ""4751"", """", ""chemin"", ""Drummond"", ""School""]"
