Concat,UUID1,Score1,UUID2,Score2,UUID3,Score3
St. Paul's School (Peterborough)1101 Hilliard Street School,f148caf2-c763-417d-a987-77caebe1cebb,0,db83b5f6-8cad-483a-8a5c-76fabab798f6,24,567753c8-f2f9-413b-be36-7f2a635b1bd4,26
St. Peter's Secondary School730 Medical Drive School,1ecc7ab9-04d9-4e62-a007-91ef454e53ff,0,c63312a5-f7ee-461b-b1a7-c3c8f18ff02f,16,354340cf-ce20-4ae7-8cac-0242901d3b51,19
Immaculate Conception School76 Robinson St School,13c7edcd-6b37-4a01-91ad-1383e2f8ed60,0,82b5e16e-202f-4885-ab18-15cbc29bbc08,14,5fdb3b41-dafc-4e8a-be8c-671dbf998710,15
Monsignor Leo Cleary School3820 Courtice Rd N School,44654812-0e9a-4fe7-a3b0-909114ee67c9,0,53fb7272-e35d-4d3f-9417-7f522d5b294f,24,67340070-8415-4ed8-b74e-058a05bcdb72,26
Monsignor O`Donoghue2400 Marsdale Drive School,669f06e3-15e7-4886-828e-15f89cfe9f01,0,97d35aed-d606-4222-bd43-e661a04b5d3b,20,a1b4a2c4-cbbd-461c-860c-bee5add6df9c,21
St. Alphonsus School875 St Mary Street School,68230e69-2b5d-4301-a948-48e73dff558b,0,cf9cec14-9efd-4599-bc14-abedcec31429,15,b66a3062-3703-483b-be45-c0470da26a34,17
St. Anne's School240 Bellevue Street School,b66a3062-3703-483b-be45-c0470da26a34,0,60fa566b-2e7e-44d2-b6c5-243d0dd197f4,15,9f4d2c7a-1900-4a77-b549-1fbf352754e6,16
St. Anthony's School74 Toronto Road School,499efcbe-edfa-4a14-806e-cadc77f0d06e,0,10262c55-4b28-43fa-b822-8994878c3e4e,17,f65b9be7-be92-41e4-bd30-96f11d2ff79c,17
St. Francis E.S. 1774 Rudell Road School,73c60be6-243f-4667-97d5-68703017cb50,0,b3b445a8-3e28-4b7d-872d-6da35506addf,14,6d7a7d3c-b9c5-4598-b6f5-8907d44a21db,17
St. John Paul II School130 Orchard Park Rd School,41c2cfd7-f0a4-4607-94bb-869903c0b55d,0,c9fb47a2-fad3-4372-90e0-c6b11eba93fb,19,b0b4a02a-9f9c-4b38-8a1a-0f7a2313f1b4,21
St. Luke's School335 St.Luke's Road School,14846cbd-ceb5-4080-9106-3d6fd7cd3c01,0,10262c55-4b28-43fa-b822-8994878c3e4e,16,f65b9be7-be92-41e4-bd30-96f11d2ff79c,18
St. Martin's School531 Ennis Rd School,f65b9be7-be92-41e4-bd30-96f11d2ff79c,0,499efcbe-edfa-4a14-806e-cadc77f0d06e,17,0d5e3476-d5c1-4e08-920a-4c823de32fc0,18
St. Mary's School (Campbellford)35 Centre St School,2d167a1e-097c-42e0-9aba-df697548ba2c,0,e1c88d7c-eb47-44ed-bae3-1f2b4493e57c,19,db83b5f6-8cad-483a-8a5c-76fabab798f6,20
St. Michael's School23 University Ave W School,a7432e7d-93b4-4eb0-a7ce-1e96e7611598,0,7eb48d6e-752b-4ef7-b3cc-daf0d1490a16,19,499efcbe-edfa-4a14-806e-cadc77f0d06e,21
St. Patrick's School300 Otonabee Drive School,66e7febd-9b6d-43ce-9c68-02eb493da670,0,305989e3-3015-46a2-94af-4818209f516a,15,0b5c5e8b-5a97-4620-b46d-72f5fd7df8f9,16
St. Paul's School (Lakefield)2 Grant Ave School,23aa96d9-d6d1-4b61-b4e1-e07e75acf446,0,db83b5f6-8cad-483a-8a5c-76fabab798f6,17,e1c88d7c-eb47-44ed-bae3-1f2b4493e57c,22
St. Stephen's Secondary School300 Scugog St School,354340cf-ce20-4ae7-8cac-0242901d3b51,0,1ecc7ab9-04d9-4e62-a007-91ef454e53ff,19,cf9980bb-a32e-4194-9873-984d29491a24,21
St. Teresa's School1525 Fairmount Boulevard School,f4797af4-f39f-43f0-84e7-884be4bec9f4,0,10262c55-4b28-43fa-b822-8994878c3e4e,20,4a894942-2cb5-4e31-84ac-2be3aef9eb85,22
St. Thomas Aquinas Catholic260 Angeline St S School,c2547cc7-eedb-4ac5-bf26-8e281c8f7357,0,6412f984-ae58-4dd6-8774-f3d909715e8c,20,a4150475-7d5e-441a-b3b5-80eb7aff03f0,21
Allandale Heights PSm School,7701df0c-b30a-41df-aaa4-29499ee44f86,0,e9d80e9e-dd45-41e3-9a62-a1f66897da42,15,9e608179-444a-4da8-9045-c7501f24b56a,15
ALC - Collingwood Campus485  Second  St School,fbdaa358-dc45-43e5-9b33-4ba23d1dae32,0,3a8f4525-b9df-4954-b367-c34711595090,19,eddf0f75-fc4b-49b9-bce0-e66318b6c16f,24
Maple Ridge Secondary School225 Prince William  Way School,8121efe6-bc5b-4e05-8fb1-a41163cbb3b3,0,10614410-b220-40db-be68-edace0889154,26,a9fa5407-9efd-47bc-b5ff-3edd5a40a8b1,26
St. Angela Merici CS801 McNaughton Ave W School,7a8dd53d-64a7-4e10-a2aa-8cd29bc1d9e2,0,d4355aad-e8ce-4338-affb-c778d9e2e818,14,cc8fcda1-5055-467e-99e2-58d2854ccc60,14
George O'Neill PS124 6th Bell St. School,92393f87-ea8d-4b8c-8452-acf993a4ea3f,0,75e8c9f0-41ff-4b0f-a8a9-e7a247be43be,17,0519634d-4e23-4639-8f7a-5f532f923d3c,19
Geraldton Composite SS and BA Parker PS500 2nd St. W. School,d83a716d-250c-4dc6-91d1-65498bcfbf87,0,ffb5fddc-fa8a-44df-be31-a49669a20bf5,34,ac179010-cdfc-4375-85d4-bb9edd2a4cef,35
Lake Superior HS19 Hudson Dr. School,e1dc0482-0e4d-423b-8683-513a838bcb16,0,18f763fb-9e8b-4a62-91eb-df22ce52b8c2,18,6d0ddd30-6a4f-48e5-a0f0-26851fe38039,18
Beardmore PS296 Walker St. School,badb3af6-7109-48b3-ab1c-f740d5411d8b,0,26293da2-2c41-4e39-80c7-7cf8d86b81a5,14,d41fd536-5291-4af8-a68b-6b6ab33f3f44,14
Caramat PS1551 Birch Cres. School,af32b877-4a95-477b-a777-27f46925f3db,0,50b3a87c-5749-4a14-a0d4-a60110a6a5a1,16,22caf7f1-5bcf-471a-8588-f560850f2b49,16
Dorion PS175 Dorion Loop Rd. School,f38050d2-05d8-4172-aa46-1767b4f5b08d,0,7e3e3a0d-f76a-40b4-bbde-f2826d5acdd1,15,6b932eec-b479-4c3b-9274-fef6ebe65b4a,15
Manitouwadge PS21 Wenonah Dr. School,8fea2baa-e6ef-4224-bbe9-91f2cfcf5f0f,0,f6447f0b-2d1d-4f8a-ae69-eb55f34cf39c,15,18f763fb-9e8b-4a62-91eb-df22ce52b8c2,16
Marathon HS and  Board Office14 Hemlo Dr. School,8d2dcf6b-f338-47e5-98c0-79dfb12f8465,0,bc97f33c-b83e-4d76-b03f-9209d6527237,28,e1dc0482-0e4d-423b-8683-513a838bcb16,28
Margaret Twomey PS21 Chisholm  Trail School,f33baaf5-da27-4634-894c-4af9600f3fd7,0,5778378c-ca10-4e85-af32-e1f56ffecc02,21,39f367a7-599f-4f73-9e45-f8c76c82f37f,21
Marjorie Mills99 Indian Rd. School,65e3d9c2-1bfe-4e48-bd27-cf7666c893dc,0,015e757d-c923-4e2f-a1e1-47c0b3374a62,16,ef95539d-e4b7-4969-9c2f-2c39e2f64704,16
Nakina PS214 North Ave School,307b53c1-7b36-4874-854a-1097b6cc5cfb,0,33b26c25-3038-492a-876e-75ebfccb7d60,11,4fbb6921-91ab-4aa9-9ba1-d0fc1a3535a0,12
New Manitouwadge HS200 Manitou Rd. School,f6447f0b-2d1d-4f8a-ae69-eb55f34cf39c,0,8fea2baa-e6ef-4224-bbe9-91f2cfcf5f0f,15,5f164e2c-5dcf-4d58-b8e2-ec01e73e1644,19
Red Rock Learning Centre46 Salls St. Administrative offices and related facilities,90e82621-f4a9-4e40-9e08-85d483199548,0,2c61b078-a0f6-4b14-855d-d5e6c474b0a8,22,97faa46f-7a28-4a0e-ac8f-a7d853d3683e,24
Kettle Creek PS350 Carlow RD School,601f2220-7f70-4380-b1ac-bc6db02847bd,0,46f332b4-0099-4c82-8bfe-8e0e74ef0670,12,ba5e8c3b-e5ca-445f-9a28-38808fa9b314,14
Avondale PS/Avondale Elem Alt School 171 Avondale Avenue School,62ef0b5f-4f00-4e88-93d0-7e9316b0283b,0,6ddcee14-265a-4b9c-893b-c27a384d1d07,29,cd567352-5c24-4b7d-a8e0-4af4e69df6e8,30
Bloor CI - Sold Sep 20211141  Bloor Street We St School,ebfc2d67-1618-4d05-8fb9-30d6f66e0215,0,675b3c8c-23eb-4695-8ad2-dddc082db8b6,23,91bd8a35-10d4-4e35-915b-ca257dc461c7,29
Scarborough Outdoor Education School1511 Echo Ridge Rd Other,20bb2796-777e-4a4a-86c1-2d30e74fe79a,0,f04ac77d-45ed-4eb4-b605-c442172b333d,26,47a92edf-1e63-4e48-9fde-f68677f2c4b3,31
"Rothwell-Osnabruck DHS & ES - Closed August 20171  College Street, P.O. Box 400 St School",ac74cf86-4124-494c-8e94-0f2c7f5447b7,0,ebb66d3b-db88-47af-bf30-9ad489c1c8bf,47,0,0
Immaculate Conception & St Michael's Alternate HS465 Victoria Avenue School,fc1bbc49-13ad-47d0-a5ac-5231cca0d5f7,0,53bd4fe2-40e5-4c38-9392-8851c34351ed,35,b846c2bf-389c-4c8a-b183-f20c958e6182,36
St. Andre French Immersion(Formerly St. Gregory)13765  St Gregory Rd School,63b574a5-b42e-4b87-ac53-482e58aa7f88,0,1002f953-a235-45b8-8670-5c904dcf8b83,40,120ddf86-517c-4487-90fa-d40cfe318bcd,42
George Street PS115  George St School,75e8c9f0-41ff-4b0f-a8a9-e7a247be43be,0,efd1039f-86ca-4dd2-a90f-84ca7d9bb613,11,0519634d-4e23-4639-8f7a-5f532f923d3c,12
Nokiidaa PS45 Murison Drive School,809982c3-36f4-43e8-938c-0bce73ab43df,0,68f2ed02-21e0-4f21-9108-0a76ed727c00,11,6d0ddd30-6a4f-48e5-a0f0-26851fe38039,13
Rouge Park PS568  Riverlands  Ave School,f28cc99c-7dcb-4577-b2aa-3e46f96a2e89,0,8d9cd2be-f87d-47ff-a905-9fe4a5da3a76,16,a9e6194f-57f6-4e12-8954-908af6c9441d,17
Uplands Community Learning Centre8210 Yonge St School,792f429a-dd34-44d1-a1f9-5d3266977e92,0,8230c228-a084-417b-86aa-c668b971cd5c,22,d0c72f5a-1dce-449a-8f7a-b4f40b96f00a,25
Viola Desmond PS25  Farrell  Rd School,c97640b6-910b-401b-a2da-6c3fcc59bf98,0,cc39ca24-e2db-4647-bb5c-6c075682bbe2,12,df31d2b9-63a0-4191-a647-c16963927c5d,13
